,data,DATA,HORA
0,2022-01-01 00:10:00.000,2022-01-31,21:41:59.999
1,2022-01-01 03:39:59.999,2022-01-31,21:41:59.999
2,2022-01-01 05:42:00.000,2022-01-31,21:41:59.999
3,2022-01-01 06:19:00.000,2022-01-31,21:41:59.999
4,2022-01-02 06:12:59.999,2022-01-31,21:41:59.999
5,2022-01-02 09:55:59.999,2022-01-31,21:41:59.999
6,2022-01-02 13:58:00.000,2022-01-31,21:41:59.999
8,2022-01-02 15:07:00.000,2022-01-31,21:41:59.999
9,2022-01-02 17:15:00.000,2022-01-31,21:41:59.999
10,2022-01-02 21:21:00.000,2022-01-31,21:41:59.999
11,2022-01-02 23:05:00.000,2022-01-31,21:41:59.999
12,2022-01-02 23:36:00.000,2022-01-31,21:41:59.999
13,2022-01-03 00:41:00.000,2022-01-31,21:41:59.999
15,2022-01-03 01:49:00.000,2022-01-31,21:41:59.999
16,2022-01-03 03:41:59.999,2022-01-31,21:41:59.999
17,2022-01-03 05:34:59.999,2022-01-31,21:41:59.999
18,2022-01-03 05:40:00.000,2022-01-31,21:41:59.999
19,2022-01-03 06:55:59.999,2022-01-31,21:41:59.999
20,2022-01-03 07:31:59.999,2022-01-31,21:41:59.999
21,2022-01-03 08:52:00.000,2022-01-31,21:41:59.999
22,2022-01-03 12:16:00.000,2022-01-31,21:41:59.999
23,2022-01-03 13:12:00.000,2022-01-31,21:41:59.999
24,2022-01-03 15:05:00.000,2022-01-31,21:41:59.999
26,2022-01-03 16:08:00.000,2022-01-31,21:41:59.999
27,2022-01-03 16:58:59.999,2022-01-31,21:41:59.999
28,2022-01-03 18:19:59.999,2022-01-31,21:41:59.999
29,2022-01-04 01:04:00.000,2022-01-31,21:41:59.999
31,2022-01-04 01:30:00.000,2022-01-31,21:41:59.999
32,2022-01-04 02:11:00.000,2022-01-31,21:41:59.999
33,2022-01-04 02:50:00.000,2022-01-31,21:41:59.999
34,2022-01-04 03:30:00.000,2022-01-31,21:41:59.999
35,2022-01-04 04:57:00.000,2022-01-31,21:41:59.999
36,2022-01-04 06:05:59.999,2022-01-31,21:41:59.999
37,2022-01-04 07:48:00.000,2022-01-31,21:41:59.999
38,2022-01-04 08:49:00.000,2022-01-31,21:41:59.999
39,2022-01-04 20:16:59.999,2022-01-31,21:41:59.999
40,2022-01-04 23:27:00.000,2022-01-31,21:41:59.999
41,2022-01-05 14:56:00.000,2022-01-31,21:41:59.999
42,2022-01-05 15:55:00.000,2022-01-31,21:41:59.999
46,2022-01-05 17:18:00.000,2022-01-31,21:41:59.999
47,2022-01-05 17:20:59.999,2022-01-31,21:41:59.999
48,2022-01-05 19:20:00.000,2022-01-31,21:41:59.999
49,2022-01-05 19:49:00.000,2022-01-31,21:41:59.999
50,2022-01-05 21:00:00.000,2022-01-31,21:41:59.999
51,2022-01-05 22:44:00.000,2022-01-31,21:41:59.999
52,2022-01-05 23:24:00.000,2022-01-31,21:41:59.999
53,2022-01-06 01:38:00.000,2022-01-31,21:41:59.999
54,2022-01-06 02:34:00.000,2022-01-31,21:41:59.999
56,2022-01-06 03:30:00.000,2022-01-31,21:41:59.999
58,2022-01-06 03:48:59.999,2022-01-31,21:41:59.999
59,2022-01-06 03:59:59.999,2022-01-31,21:41:59.999
60,2022-01-06 05:04:00.000,2022-01-31,21:41:59.999
61,2022-01-06 06:16:00.000,2022-01-31,21:41:59.999
62,2022-01-06 06:44:00.000,2022-01-31,21:41:59.999
65,2022-01-06 08:20:00.000,2022-01-31,21:41:59.999
66,2022-01-06 08:29:59.999,2022-01-31,21:41:59.999
67,2022-01-06 15:12:00.000,2022-01-31,21:41:59.999
68,2022-01-06 17:13:00.000,2022-01-31,21:41:59.999
69,2022-01-06 17:42:00.000,2022-01-31,21:41:59.999
71,2022-01-06 19:04:00.000,2022-01-31,21:41:59.999
72,2022-01-06 19:13:00.000,2022-01-31,21:41:59.999
73,2022-01-06 21:03:00.000,2022-01-31,21:41:59.999
74,2022-01-06 21:08:00.000,2022-01-31,21:41:59.999
75,2022-01-07 02:25:00.000,2022-01-31,21:41:59.999
76,2022-01-07 03:39:59.999,2022-01-31,21:41:59.999
77,2022-01-07 03:54:00.000,2022-01-31,21:41:59.999
78,2022-01-07 05:42:00.000,2022-01-31,21:41:59.999
