,turno,DATA,referencia
0,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
1,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
2,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
3,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
4,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
5,Dia,2022-01-31,2022-01-31Dia
6,Dia,2022-01-31,2022-01-31Dia
8,Dia,2022-01-31,2022-01-31Dia
9,Dia,2022-01-31,2022-01-31Dia
10,Noite,2022-01-31,2022-01-31Noite
11,Noite,2022-01-31,2022-01-31Noite
12,Noite,2022-01-31,2022-01-31Noite
13,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
15,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
16,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
17,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
18,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
19,NoiteAnterior,2022-01-31,2022-01-31NoiteAnterior
20,Dia,2022-01-31,2022-01-31Dia
21,Dia,2022-01-31,2022-01-31Dia
